# === Smart Elections Parser - URL List ===
# Add one URL per line below. Lines starting with "#" are ignored.
# These can represent state election result portals, PDF links, or JSON endpoints.

# Schema (tab-delimited): year	contest	state	county_or_scope	format	notes	url
# Curated block above; legacy/unsorted backlog remains below for future cleanup.

# === Curated | 2024 General (statewide) ===
2024	President	Arizona	statewide	PDF	Certified canvass	https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf
2024	President	Florida	statewide	CSV	Download results	https://results.elections.myflorida.com/downloadresults.asp?ElectionDate=11/5/2024&DATAMODE=
2024	President	Pennsylvania	statewide	HTML	Report center	https://www.electionreturns.pa.gov/ReportCenter/Reports
2024	President	Washington	statewide	CSV	All counties export	https://results.vote.wa.gov/results/20241105/export/20241105_AllCounties.csv
2024	President	Georgia	statewide	CSV	Totals export	https://results.sos.ga.gov/cdn/results/09378a07-e6cf-4f66-be7c-ca4aa534f99a/Total%20Votes%20Results_3675bf50-5eeb-4407-b538-c04b909ccd08.xlsx

# === Legacy / unsorted backlog (normalized to schema; fill blanks as data becomes available) ===
TBD	General Election Portal	Arizona	statewide	HTML	Live results portal	https://results.arizona.vote/default.html
2024	General Election	New York	Rockland	HTML	Default county portal	https://app.enhancedvoting.com/results/public/rockland-county-ny/elections/GE2024Results
2022	General Election	Pennsylvania	statewide	HTML	Official summary	https://www.electionreturns.pa.gov/Home/SummaryResults
TBD	General Election	Georgia	Fulton	HTML	Clarity summary/API	https://results.enr.clarityelections.com/GA/Fulton/105430/web.264614/#/summary
2025	General Election	Florida	statewide	XLS	Enight file 2025-04-01	https://flelectionfiles.floridados.gov/enightfilespublic/20250401_ElecResultsFL.xls
2024	General Election	Florida	statewide	HTML	Live results portal	https://results.elections.myflorida.com/
TBD	Election Results Summary	New York	New York City	HTML	NYC summary page	https://www.vote.nyc/page/election-results-summary
TBD	Results Archive	Oregon	statewide	HTML	ORSOS record 6873777	https://records.sos.state.or.us/ORSOSWebDrawer/Recordhtml/6873777

# === Curated | 2024 General (statewide + county/other offices) ===
2024	Senate	Michigan	statewide	HTML	Vote history index	https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=11-5-2024
2024	President	Virginia	statewide	HTML	Results overview	https://www.elections.virginia.gov/resultsreports/election-results
2024	Senate	Virginia	statewide	CSV	Download CSV	https://enr.elections.virginia.gov/cdn/results/d2c804ee-4ec2-46bb-91d7-5b41526eab03/Election%20Results_e5b689ae-a931-4b8a-a5f7-7392e9571c61.csv
2024	Chief Justice Supreme Court	Alabama	statewide	PDF	Certified results	https://www.sos.alabama.gov/sites/default/files/election-2024/State%20Certification%20of%202024%20General%20Election.pdf
2024	Attorney General	North Carolina	statewide	HTML	Contest summary	https://er.ncsbe.gov/?election_dt=11/05/2024&county_id=1&office=COS&contest=0
2024	Senate	California	statewide	HTML	Statement of vote	https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-nov-5-2024/statement-vote
2024	President	Maryland	statewide	HTML	Detail results	https://elections.maryland.gov/elections/2024/General_Results/gen_detail_results_2024_1_1.html
2024	President	Oregon	statewide	PDF	Certified results	https://sos.oregon.gov/elections/Documents/results/november-general-2024-results.pdf
2024	House of Representatives	Georgia	statewide	HTML	State results portal	https://results.sos.ga.gov/results/public/Georgia/elections/2024NovGen
